"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Ccdc125","MGI:1923291","1","tremors"
"Ccdc127","MGI:1914683","3","decreased circulating fructosamine level::increased lean body mass::increased leukocyte cell number"
"Ctdspl","MGI:1916524","5","decreased circulating serum albumin level::increased circulating alanine transaminase level::impaired glucose tolerance::increased circulating aspartate transaminase level::decreased circulating total protein level"
"Tcte1","MGI:98640","1","male infertility"
"Tsga13","MGI:1891413","2","increased circulating triglyceride level::decreased lean body mass"
"Ctdsp1","MGI:2654470","4","increased circulating alkaline phosphatase level::hyperactivity::abnormal snout morphology::decreased grip strength"
"Hif1an","MGI:2442345","12","small liver::enlarged spleen::abnormal liver morphology::abnormal spleen morphology::abnormal kidney morphology::abnormal coat/hair pigmentation::abnormal eye morphology::enlarged kidney::decreased exploration in new environment::abnormal skin morphology::preweaning lethality, incomplete penetrance::prolonged QRS complex duration"
"Nlk","MGI:1201387","4","preweaning lethality, complete penetrance::increased circulating alkaline phosphatase level::increased startle reflex::abnormal auditory brainstem response"
"Lefty1","MGI:107405","4","preweaning lethality, complete penetrance::abnormal gait::decreased lean body mass::increased circulating potassium level"
"Myo18a","MGI:2667185","7","preweaning lethality, complete penetrance::pale liver::abnormal placenta size::pale yolk sac::abnormal limb bud morphology::pallor::abnormal embryo size"
"Ccdc116","MGI:1924122","1","impaired glucose tolerance"
"Ccdc117","MGI:2144383","3","increased circulating alkaline phosphatase level::increased grip strength::abnormal auditory brainstem response"
"Myo18b","MGI:1921626","3","preweaning lethality, complete penetrance::increased circulating triglyceride level::abnormal auditory brainstem response"
"Selenok","MGI:1931466","7","abnormal spine curvature::decreased mean platelet volume::abnormal vertebral arch morphology::decreased lean body mass::increased total body fat amount::abnormal auditory brainstem response::decreased circulating magnesium level"
"Ppp2r2a","MGI:1919228","6","preweaning lethality, complete penetrance::decreased bone mineral content::decreased bone mineral density::abnormal bone structure::decreased lean body mass::decreased body length"
"Ppp2r1b","MGI:1920949","3","abnormal tooth morphology::increased fasting circulating glucose level::male infertility"
"Dnah17","MGI:1917176","2","abnormal hair growth::male infertility"
"Dnah10","MGI:1860299","1","preweaning lethality, incomplete penetrance"
"Ccdc103","MGI:1920543","1","increased circulating amylase level"
"Cd19","MGI:88319","2","increased monocyte cell number::decreased lymphocyte cell number"
"Cracd","MGI:2444817","2","hyperactivity::abnormal coat/ hair morphology"
"Ccdc107","MGI:1913423","1","decreased grip strength"
"Psip1","MGI:2142116","2","preweaning lethality, complete penetrance::embryonic growth retardation"
"Calhm1","MGI:3643383","2","enlarged heart::abnormal heart morphology"
"Calhm2","MGI:1919941","3","abnormal pancreas morphology::persistence of hyaloid vascular system::enlarged pancreas"
"Kif18b","MGI:2446979","2","preweaning lethality, complete penetrance::increased circulating triglyceride level"
"Ppp6r2","MGI:1918724","1","preweaning lethality, incomplete penetrance"
"Ropn1l","MGI:2182357","5","abnormal tooth morphology::abnormal spine curvature::abnormal snout morphology::kyphosis::decreased grip strength"
"Sra1","MGI:1344414","6","abnormal cranium morphology::decreased bone mineral content::small kidney::abnormal uterus morphology::abnormal bone structure::abnormal optic disk morphology"
"Ugt2a1","MGI:2149905","1","increased vertical activity"
"Ankrd36","MGI:1923639","4","abnormal sternum morphology::enlarged stomach::preweaning lethality, incomplete penetrance::abnormal skin morphology"
"Ugt1a6b","MGI:3580629","2","microphthalmia::anophthalmia"
"Ankrd35","MGI:2442590","1","abnormal cornea morphology"
"Xpo1","MGI:2144013","5","preweaning lethality, complete penetrance::increased heart weight::prenatal lethality prior to heart atrial septation::atrophy/Testis - MPATH pathological process term::embryonic lethality prior to organogenesis"
"Xpo4","MGI:1888526","4","edema::cataract::microphthalmia::preweaning lethality, incomplete penetrance"
"Nnt","MGI:109279","1","abnormal gait"
"Ubl4b","MGI:1914841","6","increased circulating serum albumin level::abnormal thymus morphology::abnormal seminal vesicle morphology::increased prepulse inhibition::abnormal skin morphology::enlarged thymus"
"Xpo5","MGI:1913789","10","preweaning lethality, complete penetrance::enlarged spleen::abnormal spleen morphology::prenatal lethality prior to heart atrial septation::microphthalmia::abnormal ovary morphology::abnormal eye morphology::enlarged ovary::abnormal skin morphology::embryonic lethality prior to organogenesis"
"Wdr45b","MGI:1914090","2","preweaning lethality, incomplete penetrance::abnormal embryo size"
"Cd27","MGI:88326","10","abnormal spleen morphology::enlarged heart::abnormal testis morphology::abnormal seminal vesicle morphology::decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number::small testis::small seminal vesicle::decreased lean body mass::abnormal heart morphology::abnormal auditory brainstem response"
"Acot12","MGI:1921406","4","decreased thigmotaxis::abnormal vocalization::dilated heart left ventricle::decreased cardiac muscle contractility"
"Camkmt","MGI:1920832","5","increased circulating creatinine level::increased circulating sodium level::decreased total body fat amount::increased blood urea nitrogen level::increased mean platelet volume"
"Cd22","MGI:88322","4","small superior vagus ganglion::increased monocyte cell number::increased startle reflex::hydrometra"
"Cbr2","MGI:107200","4","cataract::decreased circulating amylase level::decreased circulating fructosamine level::abnormal lens morphology"
"Zer1","MGI:2442511","2","increased heart weight::improved glucose tolerance"
"Selenon","MGI:2151208","2","process of degenerative change/Brain - MPATH process term::hydrocephalus/Brain - MPATH diagnostic term"
"Zfp182","MGI:2442220","3","decreased circulating HDL cholesterol level::cataract::abnormal lens morphology"
"Nog","MGI:104327","20","preweaning lethality, complete penetrance::abnormal somite shape::abnormal neural tube closure::edema::abnormal blood vessel morphology::abnormal kidney morphology::small kidney::abnormal visceral yolk sac morphology::abnormal bone structure::abnormal caudal vertebrae morphology::abnormal pharyngeal arch morphology::embryonic growth retardation::abnormal placenta morphology::abnormal snout morphology::abnormal forebrain development::abnormal neural tube morphology::abnormal embryo turning::abnormal vitelline vasculature morphology::abnormal heart morphology::hemorrhage"
"Selenot","MGI:1916477","3","decreased bone mineral content::abnormal bone structure::decreased body length"
"Dera","MGI:1913762","1","preweaning lethality, incomplete penetrance"
"Ankrd45","MGI:1921094","1","hyperactivity"
"Ankrd44","MGI:3045243","1","thrombocytopenia"
"Mink1","MGI:1355329","7","abnormal tooth morphology::microphthalmia::abnormal sternum morphology::enlarged kidney::small uterus::abnormal skin morphology::enlarged lymph nodes"
"Rab3ip","MGI:105933","7","increased mean corpuscular volume::increased circulating alkaline phosphatase level::decreased bone mineral content::increased mean corpuscular hemoglobin::increased lean body mass::decreased exploration in new environment::decreased bone mineral density"
"Cd38","MGI:107474","14","enlarged spleen::abnormal thymus morphology::abnormal spleen morphology::decreased CD4-positive, CD25-positive, alpha-beta regulatory T cell number::abnormal digit morphology::enlarged thymus::decreased CD4-positive, alpha beta T cell number::decreased CD4-positive NK T cell number::decreased T-helper cell number::decreased memory-marker CD4-positive NK T cell number::decreased effector memory T-helper cell number::increased effector memory CD8-positive, alpha-beta T cell number::increased NK cell number::decreased NK T cell number"
"Cd36","MGI:107899","14","eye hemorrhage::enlarged spleen::abnormal liver morphology::abnormal spleen morphology::decreased brain size::abnormal skin morphology::enlarged liver::increased heart weight::enlarged heart::decreased circulating triglyceride level::abnormal brain morphology::hyperplasia/Testis - MPATH pathological process term::abnormal heart morphology::decreased fasting circulating glucose level"
"Calhm6","MGI:2443082","1","increased heart rate variability"
"Ugcg","MGI:1332243","3","increased circulating alanine transaminase level::decreased lymphocyte cell number::increased neutrophil cell number"
"Cd33","MGI:99440","1","increased fasting circulating glucose level"
"Kif16b","MGI:1098240","14","enlarged spleen::abnormal thymus morphology::abnormal spleen morphology::abnormal eye morphology::abnormal seminal vesicle morphology::abnormal duodenum morphology::abnormal colon morphology::abnormal digit morphology::enlarged thymus::abnormal skin morphology::abnormal skeletal muscle morphology::enlarged heart::small seminal vesicle::abnormal heart morphology"
"Ankrd10","MGI:1921840","4","decreased total retina thickness::decreased grip strength::preweaning lethality, incomplete penetrance::increased total body fat amount"
"Ppp2r5d","MGI:2388481","2","abnormal vocalization::abnormal retina morphology"
"Ppp2r5c","MGI:1349475","22","enlarged spleen::increased circulating alkaline phosphatase level::increased mean corpuscular volume::abnormal spleen morphology::shortened QT interval::increased mean corpuscular hemoglobin::decreased exploration in new environment::irregularly shaped pupil::decreased lean body mass::decreased grip strength::increased neutrophil cell number::preweaning lethality, incomplete penetrance::enlarged lymph nodes::abnormal lymph node morphology::shortened ST segment::increased heart weight::enlarged heart::abnormal placement of pupils::decreased startle reflex::increased blood urea nitrogen level::increased total body fat amount::abnormal heart morphology"
"Zfp174","MGI:2686600","3","increased mean corpuscular hemoglobin concentration::decreased bone mineral content::decreased body length"
"Ppp2r5a","MGI:2388479","2","enlarged lymph nodes::abnormal lymph node morphology"
"Ankrd11","MGI:1924337","10","increased circulating cholesterol level::preweaning lethality, complete penetrance::abnormal embryo development::increased circulating HDL cholesterol level::decreased startle reflex::decreased prepulse inhibition::abnormal vitreous body morphology::abnormal auditory brainstem response::abnormal startle reflex::decreased body length"
"Xpot","MGI:1920442","5","preweaning lethality, complete penetrance::abnormal facial morphology::unresponsive to tactile stimuli::preweaning lethality, incomplete penetrance::abnormal embryo size"
"Cd46","MGI:1203290","1","decreased large unstained cell number"
"C2cd4b","MGI:1922947","7","increased red blood cell distribution width::decreased circulating cholesterol level::decreased circulating HDL cholesterol level::decreased hemoglobin content::decreased circulating triglyceride level::increased circulating bilirubin level::increased mean platelet volume"
"Zfp280d","MGI:2384583","12","decreased heart rate::increased circulating alkaline phosphatase level::prolonged RR interval::decreased mean corpuscular hemoglobin concentration::decreased prepulse inhibition::decreased locomotor activity::decreased startle reflex::dilated heart left ventricle::prolonged QRS complex duration::increased circulating aspartate transaminase level::decreased cardiac muscle contractility::abnormal startle reflex"
"Cstb","MGI:109514","12","decreased circulating creatinine level::increased circulating triglyceride level::abnormal retina outer nuclear layer morphology::abnormal eye anterior chamber depth::increased monocyte cell number::hyperactivity::decreased lymphocyte cell number::short tibia::increased vertical activity::decreased total retina thickness::abnormal auditory brainstem response::decreased body length"
"Cbr4","MGI:2384567","3","preweaning lethality, complete penetrance::increased bone mineral content::increased bone mineral density"
"Pla2g6","MGI:1859152","1","male infertility"
"C2cd4a","MGI:3645763","1","increased mean platelet volume"
"Cbr3","MGI:1309992","7","decreased thigmotaxis::decreased vertical activity::decreased locomotor activity::abnormal behavior::decreased anxiety-related response::decreased exploration in new environment::decreased bone mineral density"
"Pla2g7","MGI:1351327","1","decreased startle reflex"
"Mpp2","MGI:1858257","4","abnormal retina outer nuclear layer morphology::decreased total retina thickness::abnormal retina inner nuclear layer morphology::impaired glucose tolerance"
"Zfp160","MGI:108187","4","abnormal retina outer nuclear layer morphology::decreased spleen weight::increased cornea thickness::preweaning lethality, incomplete penetrance"
"Mpp3","MGI:1328354","1","decreased circulating glucose level"
"Satb2","MGI:2679336","6","abnormal craniofacial morphology::preweaning lethality, complete penetrance::increased mean corpuscular volume::increased circulating alkaline phosphatase level::abnormal uterus morphology::enlarged lymph nodes"
"Letmd1","MGI:1915864","7","increased heart weight::increased fasting circulating glucose level::decreased bone mineral content::decreased prepulse inhibition::increased freezing behavior::decreased bone mineral density::increased total body fat amount"
"Satb1","MGI:105084","9","preweaning lethality, complete penetrance::hyperactivity::increased bone mineral content::increased exploration in new environment::abnormal vitreous body morphology::increased bone mineral density::preweaning lethality, incomplete penetrance::increased circulating aspartate transaminase level::abnormal auditory brainstem response"
"Acadm","MGI:87867","2","increased grip strength::abnormal vibrissa morphology"
"Cst3","MGI:102519","1","small superior vagus ganglion"
"Ankrd24","MGI:1890394","1","abnormal auditory brainstem response"
"Cst6","MGI:1920970","16","preweaning lethality, complete penetrance::enlarged spleen::abnormal spleen morphology::increased fasting circulating glucose level::decreased lean body mass::rib fusion::abnormal skin morphology::abnormal rib morphology::increased circulating creatine kinase level::decreased circulating serum albumin level::enlarged heart::abnormal uterus morphology::long tibia::hydrometra::small spleen::abnormal heart morphology"
"Ppp2r5e","MGI:1349473","10","increased mean corpuscular volume::decreased mean platelet volume::decreased bone mineral content::decreased mean corpuscular hemoglobin concentration::increased hematocrit::decreased locomotor activity::abnormal locomotor behavior::decreased exploration in new environment::abnormal bone structure::abnormal auditory brainstem response"
"Cst9","MGI:1340053","2","enlarged epididymis::abnormal epididymis morphology"
"Ankrd27","MGI:2444103","2","short tibia::decreased total retina thickness"
"Nbr1","MGI:108498","2","impaired glucose tolerance::decreased bone mineral density"
"Abi3bp","MGI:2444583","1","preweaning lethality, incomplete penetrance"
"Olfr376","MGI:3030210","9","abnormal liver morphology::abnormal ovary morphology::enlarged heart::decreased circulating aspartate transaminase level::decreased circulating bilirubin level::enlarged ovary::abnormal cecum morphology::enlarged cecum::abnormal heart morphology"
"Cd74","MGI:96534","4","increased monocyte cell number::decreased leukocyte cell number::decreased lymphocyte cell number::increased neutrophil cell number"
"Phyh","MGI:891978","5","dysplasia/Testis - MPATH pathological process term::hyperplasia/Bone marrow - MPATH pathological process term::decreased lymphocyte cell number::spermatogenesis defect/Testis - MPATH pathological process term::increased neutrophil cell number"
"Prokr1","MGI:1929676","1","abnormal retina morphology"
"Kash5","MGI:2687329","5","female infertility::increased circulating HDL cholesterol level::decreased locomotor activity::male infertility::increased leukocyte cell number"
"Cd5l","MGI:1334419","4","decreased circulating glucose level::decreased exploration in new environment::abnormal nail morphology::increased bone mineral density"
"Car14","MGI:1344341","5","abnormal retina blood vessel morphology::decreased total retina thickness::abnormal retina morphology::abnormal retina vasculature morphology::decreased respiratory quotient"
"Car13","MGI:1931322","1","impaired glucose tolerance"
"Zmynd11","MGI:1913755","2","preweaning lethality, incomplete penetrance::increased circulating thyroxine level"
"Nt5c1b","MGI:1918131","2","increased mean corpuscular hemoglobin concentration::impaired glucose tolerance"
"Wnt5b","MGI:98959","1","decreased brain weight"
"Nsf","MGI:104560","7","preweaning lethality, complete penetrance::decreased thigmotaxis::embryonic lethality prior to tooth bud stage::decreased circulating HDL cholesterol level::increased hemoglobin content::decreased circulating glucose level::embryonic lethality prior to organogenesis"
"Yeats2","MGI:2447762","6","limb grasping::preweaning lethality, complete penetrance::hyperactivity::abnormal coat/hair pigmentation::impaired righting response::embryonic lethality prior to organogenesis"
"Cd84","MGI:1336885","2","increased startle reflex::increased circulating sodium level"
"Cd83","MGI:1328316","2","enlarged heart::abnormal heart morphology"
"Kif13a","MGI:1098264","12","enlarged spleen::abnormal spleen morphology::hyperactivity::abnormal kidney morphology::enlarged testis::abnormal testis morphology::small kidney::decreased prepulse inhibition::decreased startle reflex::hydrometra::abnormal skin morphology::abnormal auditory brainstem response"
"Haao","MGI:1349444","2","increased bone mineral content::increased circulating glucose level"
"Lmo1","MGI:102812","7","decreased thigmotaxis::hyperactivity::decreased vertical activity::abnormal behavior::decreased prepulse inhibition::decreased anxiety-related response::abnormal retina morphology"
"Kif13b","MGI:1098265","3","increased circulating alkaline phosphatase level::decreased leukocyte cell number::increased circulating LDL cholesterol level"
"Kdm1a","MGI:1196256","11","small liver::preweaning lethality, complete penetrance::small kidney::small spleen::decreased locomotor activity::increased eosinophil cell number::decreased grip strength::small heart::small lung::increased mean platelet volume::increased basophil cell number"
"Fgfr1op2","MGI:1914779","16","preweaning lethality, complete penetrance::edema::abnormal blood vessel morphology::cataract::microphthalmia::cleft palate::persistence of hyaloid vascular system::abnormal skin morphology::abnormal tail morphology::abnormal craniofacial morphology::abnormal placenta morphology::embryonic growth retardation::abnormal limb morphology::abnormal placenta size::abnormal vitreous body morphology::abnormal placenta vasculature"
"Lmo7","MGI:1353586","1","increased circulating creatinine level"
"Lmna","MGI:96794","4","preweaning lethality, complete penetrance::improved glucose tolerance::short tibia::cornea ulcer"
"Lama5","MGI:105382","2","preweaning lethality, complete penetrance::enlarged heart"
"Lama1","MGI:99892","7","preweaning lethality, complete penetrance::increased circulating alanine transaminase level::increased startle reflex::decreased exploration in new environment::abnormal retina morphology::abnormal lens morphology::persistence of hyaloid vascular system"
"Ap4e1","MGI:1336993","63","limb grasping::enlarged spleen::increased circulating alkaline phosphatase level::hyperactivity::decreased mean corpuscular hemoglobin::decreased vertical activity::hyperplasia/Eye - MPATH pathological process term::decreased exploration in new environment::decreased grip strength::preweaning lethality, incomplete penetrance::enlarged lymph nodes::hypoplasia/Bone marrow - MPATH process term::abnormal inspiratory capacity::decreased thigmotaxis::decreased heart rate variability::abnormal cholesterol homeostasis::abnormal freezing behavior::increased exploration in new environment::hyperplasia/Sternum - MPATH pathological process term::cardiovascular system phenotype::abnormal kidney morphology::abnormal testis morphology::decreased circulating glucose level::small testis::abnormal retina inner nuclear layer morphology::increased lean body mass::hypoplasia/Eye - MPATH pathological process term::decreased mean corpuscular hemoglobin concentration::increased hematocrit::decreased total body fat amount::abnormal vertebrae morphology::abnormal lens morphology::decreased anxiety-related response::increased circulating aspartate transaminase level::decreased heart rate::increased fasting circulating glucose level::decreased total retina thickness::impaired glucose tolerance::abnormal behavior::depletion/Bone marrow - MPATH process term::abnormal vertebral arch morphology::increased prepulse inhibition::fibro-osseous lesion/Sternum - MPATH pathological process term::abnormal coat appearance::decreased circulating chloride level::unresponsive to tactile stimuli::decreased cardiac output::increased startle reflex::increased bone mineral content::increased cardiac muscle contractility::abnormal spleen morphology::increased hemoglobin content::increased kidney weight::process of degenerative change/Brain - MPATH process term::abnormal sinus arrhythmia::increased circulating creatine kinase level::increased red blood cell distribution width::increased lung compliance::increased grip strength::increased erythrocyte cell number::abnormal sleep behavior::increased circulating amylase level::decreased respiratory quotient"
"Lama4","MGI:109321","6","increased heart weight::increased circulating alkaline phosphatase level::abnormal coat/hair pigmentation::abnormal skin morphology::corneal opacity::increased basophil cell number"
"Ctdspl2","MGI:1196405","5","unresponsive to tactile stimuli::decreased total body fat amount::increased spleen weight::increased lean body mass::preweaning lethality, incomplete penetrance"
"Lrp1b","MGI:2151136","2","increased circulating iron level::preweaning lethality, incomplete penetrance"
"Mpst","MGI:2179733","1","decreased exploration in new environment"
"Idi1","MGI:2442264","2","preweaning lethality, complete penetrance::decreased grip strength"
"Cd96","MGI:1934368","1","increased leukocyte cell number"
"Pramel17","MGI:3588238","2","enlarged heart::abnormal tail morphology"
"Slc41a2","MGI:2442940","1","prolonged QRS complex duration"
"Ankrd50","MGI:2139777","1","preweaning lethality, incomplete penetrance"
"Olfr392","MGI:3030226","9","abnormal eye morphology::anophthalmia::abnormal adrenal gland morphology::abnormal cecum morphology::enlarged cecum::abnormal skin morphology::enlarged lymph nodes::preweaning lethality, incomplete penetrance::abnormal lymph node morphology"
"Ccdc191","MGI:1922661","2","mydriasis::male infertility"
"Trim69","MGI:1918178","1","abnormal auditory brainstem response"
"Pramel12","MGI:2140473","18","enlarged spleen::abnormal spleen morphology::abnormal kidney morphology::abnormal eye morphology::abnormal pancreas morphology::small kidney::abnormal seminal vesicle morphology::abnormal testis morphology::abnormal duodenum morphology::small testis::abnormal jejunum morphology::male infertility::abnormal stomach morphology::abnormal urinary bladder morphology::enlarged seminal vesicle::abnormal cecum morphology::small heart::abnormal heart morphology"
"Dennd6a","MGI:2442980","1","increased vertical activity"
"Pramel13","MGI:1924882","5","abnormal testis morphology::small testis::male infertility::preweaning lethality, incomplete penetrance::abnormal skin morphology"
"Dennd6b","MGI:1916690","3","decreased locomotor activity::increased circulating lipase level::abnormal auditory brainstem response"
"Ankrd52","MGI:2444029","8","preweaning lethality, complete penetrance::microphthalmia::decreased bone mineral content::anophthalmia::abnormal vocalization::decreased grip strength::increased leukocyte cell number::abnormal embryo size"
"Hrh1","MGI:107619","1","abnormal kidney morphology"
"Trim71","MGI:2685973","3","preweaning lethality, complete penetrance::abnormal jejunum morphology::abnormal ileum morphology"
"Hrh4","MGI:2429635","3","decreased total retina thickness::decreased heart weight::increased cornea thickness"
"Nedd4l","MGI:1933754","6","decreased prepulse inhibition::decreased startle reflex::abnormal retina morphology::preweaning lethality, incomplete penetrance::abnormal auditory brainstem response::abnormal startle reflex"
"Stra6l","MGI:1921402","8","increased red blood cell distribution width::increased mean corpuscular volume::decreased lymphocyte cell number::increased mean corpuscular hemoglobin::increased neutrophil cell number::corneal opacity::increased mean platelet volume::increased basophil cell number"
"Dynll1","MGI:1861457","5","preweaning lethality, complete penetrance::increased circulating alkaline phosphatase level::decreased circulating glucose level::decreased circulating fructosamine level::increased circulating bilirubin level"
"Itga11","MGI:2442114","5","abnormal tooth morphology::decreased circulating glucose level::tremors::decreased spleen weight::decreased fasting circulating glucose level"
"Cbx6","MGI:3512628","14","decreased circulating cholesterol level::decreased circulating HDL cholesterol level::decreased mean platelet volume::increased circulating chloride level::increased circulating sodium level::decreased circulating glucose level::abnormal tibia morphology::increased lean body mass::increased circulating creatinine level::increased bone mineral content::decreased total body fat amount::increased blood urea nitrogen level::increased circulating amylase level::decreased fasting circulating glucose level"
"Cbx5","MGI:109372","5","vertebral transformation::vertebral fusion::increased grip strength::decreased circulating glucose level::fusion of vertebral arches"
"Cbx4","MGI:1195985","5","preweaning lethality, complete penetrance::hyperactivity::decreased lean body mass::increased total body fat amount::abnormal embryo size"
"Cbx2","MGI:88289","3","preweaning lethality, complete penetrance::increased grip strength::persistence of hyaloid vascular system"
"Idh1","MGI:96413","2","decreased prepulse inhibition::preweaning lethality, incomplete penetrance"
"Idh2","MGI:96414","3","increased hemoglobin content::decreased mean corpuscular hemoglobin::decreased mean corpuscular volume"
"Cbx1","MGI:105369","1","preweaning lethality, complete penetrance"
"Ccdc180","MGI:2685871","3","abnormal eye anterior chamber depth::increased cornea thickness::preweaning lethality, incomplete penetrance"
"Ccdc181","MGI:1922145","2","abnormal retina outer nuclear layer morphology::decreased total retina thickness"
"Olfr380","MGI:3030214","7","abnormal eye morphology::abnormal testis morphology::abnormal uterus morphology::small testis::hydrometra::abnormal lung morphology::abnormal urinary bladder morphology"
"Ankrd65","MGI:2685285","1","decreased exploration in new environment"
"Vwc2l","MGI:2444069","2","microphthalmia::abnormal eye morphology"
"Wnt2b","MGI:1261834","7","enlarged spleen::abnormal spleen morphology::abnormal kidney morphology::enlarged kidney::small spleen::irregularly shaped pupil::persistence of hyaloid vascular system"
"Ccdc186","MGI:2445022","4","preweaning lethality, complete penetrance::abnormal eye morphology::decreased exploration in new environment::hemorrhage"
"Zfhx2","MGI:2686934","5","decreased thigmotaxis::abnormal epididymis morphology::hyperactivity::decreased anxiety-related response::abnormal vertebral arch morphology"
"Prdm10","MGI:2682952","6","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::decreased bone mineral content::decreased total body fat amount::increased lean body mass::decreased grip strength"
"Ccdc189","MGI:2685012","4","increased circulating cholesterol level::increased circulating HDL cholesterol level::decreased locomotor activity::male infertility"
"Prdm13","MGI:2448528","2","abnormal spleen morphology::increased spleen weight"
"Prdm12","MGI:2685844","6","increased circulating cholesterol level::preweaning lethality, complete penetrance::shortened QRS complex duration::decreased locomotor activity::decreased exploration in new environment::abnormal embryo size"
"Prdm15","MGI:1930121","3","increased heart left ventricle size::thick ventricular wall::preweaning lethality, incomplete penetrance"
"Prdm14","MGI:3588194","20","defective growth and differentiation process/Testes - MPATH process term::hyperactivity::developmental and structural abnormality/Tibia - MPATH process term::decreased bone mineral content::short tibia::defective growth and differentiation process/Ovary - MPATH process term::impaired glucose tolerance::decreased bone mineral density::abnormal bone structure::decreased lean body mass::male infertility::preweaning lethality, incomplete penetrance::abnormal rib morphology::hypoplasia/Epididymis - MPATH process term::abnormal eye anterior chamber depth::osteopenia/Tibia - MPATH diagnostic term::female infertility::increased effector memory T-helper cell number::decreased respiratory quotient::increased total body fat amount"
"Sacs","MGI:1354724","13","preweaning lethality, complete penetrance::abnormal spleen morphology::increased mean corpuscular volume::vacuolation/Sciatic nerve - MPATH pathological process term::abnormal kidney morphology::hydropic degeneration/Spinal cord - MPATH pathological process term::abnormal skin morphology::preweaning lethality, incomplete penetrance::dysplasia/Sciatic nerve - MPATH pathological process term::abnormal sternum morphology::atrophy/Brain - MPATH pathological process term::depletion/Spinal cord - MPATH pathological process term::small uterus"
"Hmga1","MGI:96160","2","unresponsive to tactile stimuli::preweaning lethality, incomplete penetrance"
"Zfhx4","MGI:2137668","3","preweaning lethality, complete penetrance::decreased exploration in new environment::decreased hematocrit"
"Bptf","MGI:2444008","5","preweaning lethality, complete penetrance::vertebral fusion::decreased prepulse inhibition::abnormal bone structure::decreased body length"
"Hectd1","MGI:2384768","5","abnormal coat/hair pigmentation::increased eosinophil cell number::increased circulating calcium level::decreased circulating alkaline phosphatase level::increased basophil cell number"
"Atp6v0b","MGI:1890510","3","hyperactivity::decreased locomotor activity::decreased exploration in new environment"
"Hectd4","MGI:3647820","5","increased circulating alanine transaminase level::decreased circulating glucose level::increased eosinophil cell number::abnormal retina morphology::increased basophil cell number"
"Hectd2","MGI:2442663","4","abnormal epididymis morphology::decreased bone mineral content::increased grip strength::abnormal scapula morphology"
"Hectd3","MGI:1923858","16","small liver::decreased bone mineral content::decreased brain size::decreased bone mineral density::abnormal bone structure::decreased grip strength::male infertility::small lung::small thymus::female infertility::increased cardiac muscle contractility::small spleen::small stomach::small heart::increased total body fat amount::decreased body length"
"Zfp111","MGI:1929114","4","abnormal uterus morphology::hydrometra::preweaning lethality, incomplete penetrance::abnormal skin morphology"
"Trim46","MGI:2673000","5","increased thigmotaxis::hyperactivity::decreased bone mineral content::decreased locomotor activity::increased leukocyte cell number"
"Trim47","MGI:1917374","1","decreased thigmotaxis"
"Ccdc170","MGI:2685067","1","abnormal vocalization"
"Trim45","MGI:1918187","1","preweaning lethality, complete penetrance"
"Ybx3","MGI:2137670","3","abnormal kidney morphology::enlarged kidney::abnormal jejunum morphology"
"Kdm4b","MGI:2442355","2","hypoplasia/Eye with optic nerve - MPATH process term::preweaning lethality, incomplete penetrance"
"4930447C04Rik","MGI:1923051","7","decreased bone mineral content::female infertility::decreased bone mineral density::decreased lean body mass::decreased grip strength::male infertility::increased total body fat amount"
"Vars2","MGI:1916165","4","preweaning lethality, complete penetrance::abnormal eye anterior chamber depth::abnormal body wall morphology::increased cardiac output"
"Ccdc174","MGI:2444652","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Dennd4c","MGI:1914769","2","preweaning lethality, complete penetrance::prenatal lethality prior to heart atrial septation"
"Pfkfb4","MGI:2687284","2","eye hemorrhage::female infertility"
"Pfkfb3","MGI:2181202","2","decreased bone mineral density::abnormal bone structure"
"Pfkfb2","MGI:107815","7","decreased neutrophil cell number::increased fasting circulating glucose level::increased eosinophil cell number::abnormal retina morphology::thin ventricular wall::increased lymphocyte cell number::increased basophil cell number"
"Ccdc178","MGI:1918200","1","corneal opacity"
"Trim50","MGI:2664992","1","decreased spleen weight"
"Ambra1","MGI:2443564","12","preweaning lethality, complete penetrance::abnormal cranium morphology::abnormal eye anterior chamber depth::abnormal neural tube closure::abnormal midbrain morphology::spina bifida::abnormal retina inner nuclear layer morphology::prenatal lethality::abnormal hindbrain morphology::decreased prepulse inhibition::abnormal tail morphology::facial cleft"
"Hagh","MGI:95745","6","increased red blood cell distribution width::cataract::abnormal sternum morphology::decreased mean corpuscular volume::abnormal lens morphology::decreased hematocrit"
"Iqgap1","MGI:1352757","7","increased grip strength::short tibia::increased anxiety-related response::decreased exploration in new environment::decreased bone mineral density::increased lymphocyte cell number::increased leukocyte cell number"
"Iqgap2","MGI:2449975","2","increased startle reflex::abnormal auditory brainstem response"
"Iqgap3","MGI:3028642","1","preweaning lethality, incomplete penetrance"
"Tanc1","MGI:1914110","4","enlarged urinary bladder::increased circulating alanine transaminase level::increased circulating aspartate transaminase level::abnormal skin morphology"
"Blvrb","MGI:2385271","3","increased circulating creatinine level::thin ventricular wall::abnormal auditory brainstem response"
"Trim59","MGI:1914199","3","abnormal retina outer nuclear layer morphology::decreased total retina thickness::preweaning lethality, incomplete penetrance"
